question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,answer,candidate_name,candidate_party,pct,Latitude,Longitude
116820,63514,2020,,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B/C,9045,rv,rv,Online,U.S. President,0,,2002/4/20,2002/9/20,,,FALSE,,,FALSE,FALSE,2002/11/20 08:29,,https://morningconsult.com/2020-democratic-primary/,general,Bloomberg,Michael Bloomberg,DEM,46,,
116820,63514,2020,,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B/C,9045,rv,rv,Online,U.S. President,0,,2002/4/20,2002/9/20,,,FALSE,,,FALSE,FALSE,2002/11/20 08:29,,https://morningconsult.com/2020-democratic-primary/,general,Trump,Donald Trump,REP,41,,
116821,63514,2020,,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B/C,9045,rv,rv,Online,U.S. President,0,,2002/4/20,2002/9/20,,,FALSE,,,FALSE,FALSE,2002/11/20 08:29,,https://morningconsult.com/2020-democratic-primary/,general,Biden,Joseph R. Biden Jr.,DEM,45,,
116821,63514,2020,,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B/C,9045,rv,rv,Online,U.S. President,0,,2002/4/20,2002/9/20,,,FALSE,,,FALSE,FALSE,2002/11/20 08:29,,https://morningconsult.com/2020-democratic-primary/,general,Trump,Donald Trump,REP,42,,
116822,63514,2020,,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B/C,9045,rv,rv,Online,U.S. President,0,,2002/4/20,2002/9/20,,,FALSE,,,FALSE,FALSE,2002/11/20 08:29,,https://morningconsult.com/2020-democratic-primary/,general,Sanders,Bernard Sanders,DEM,45,,
116822,63514,2020,,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B/C,9045,rv,rv,Online,U.S. President,0,,2002/4/20,2002/9/20,,,FALSE,,,FALSE,FALSE,2002/11/20 08:29,,https://morningconsult.com/2020-democratic-primary/,general,Trump,Donald Trump,REP,43,,
116823,63514,2020,,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B/C,9045,rv,rv,Online,U.S. President,0,,2002/4/20,2002/9/20,,,FALSE,,,FALSE,FALSE,2002/11/20 08:29,,https://morningconsult.com/2020-democratic-primary/,general,Warren,Elizabeth Warren,DEM,43,,
116823,63514,2020,,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B/C,9045,rv,rv,Online,U.S. President,0,,2002/4/20,2002/9/20,,,FALSE,,,FALSE,FALSE,2002/11/20 08:29,,https://morningconsult.com/2020-democratic-primary/,general,Trump,Donald Trump,REP,43,,
116824,63514,2020,,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B/C,9045,rv,rv,Online,U.S. President,0,,2002/4/20,2002/9/20,,,FALSE,,,FALSE,FALSE,2002/11/20 08:29,,https://morningconsult.com/2020-democratic-primary/,general,Buttigieg,Pete Buttigieg,DEM,43,,
116824,63514,2020,,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B/C,9045,rv,rv,Online,U.S. President,0,,2002/4/20,2002/9/20,,,FALSE,,,FALSE,FALSE,2002/11/20 08:29,,https://morningconsult.com/2020-democratic-primary/,general,Trump,Donald Trump,REP,42,,
116836,63515,2020,Alabama,289,Mason-Dixon Polling & Research Inc.,"78,012,361,237",WBRC-TV | Alabama Daily News | WAFF-TV,Mason-Dixon Polling & Research Inc.,197,Mason-Dixon Polling & Research Inc.,B+,625,rv,rv,Live Phone,U.S. President,0,,2002/4/20,2002/6/20,,,FALSE,,,FALSE,FALSE,2002/11/20 08:47,,https://www.aldailynews.com/trump-leads-democratic-contenders-in-alabama-poll/,general,Warren,Elizabeth Warren,DEM,35,32.31823,-86.902298
116836,63515,2020,Alabama,289,Mason-Dixon Polling & Research Inc.,"78,012,361,237",WBRC-TV | Alabama Daily News | WAFF-TV,Mason-Dixon Polling & Research Inc.,197,Mason-Dixon Polling & Research Inc.,B+,625,rv,rv,Live Phone,U.S. President,0,,2002/4/20,2002/6/20,,,FALSE,,,FALSE,FALSE,2002/11/20 08:47,,https://www.aldailynews.com/trump-leads-democratic-contenders-in-alabama-poll/,general,Trump,Donald Trump,REP,62,32.31823,-86.902298
116837,63515,2020,Alabama,289,Mason-Dixon Polling & Research Inc.,"78,012,361,237",WBRC-TV | Alabama Daily News | WAFF-TV,Mason-Dixon Polling & Research Inc.,197,Mason-Dixon Polling & Research Inc.,B+,625,rv,rv,Live Phone,U.S. President,0,,2002/4/20,2002/6/20,,,FALSE,,,FALSE,FALSE,2002/11/20 08:47,,https://www.aldailynews.com/trump-leads-democratic-contenders-in-alabama-poll/,general,Bloomberg,Michael Bloomberg,DEM,40,32.31823,-86.902298
116837,63515,2020,Alabama,289,Mason-Dixon Polling & Research Inc.,"78,012,361,237",WBRC-TV | Alabama Daily News | WAFF-TV,Mason-Dixon Polling & Research Inc.,197,Mason-Dixon Polling & Research Inc.,B+,625,rv,rv,Live Phone,U.S. President,0,,2002/4/20,2002/6/20,,,FALSE,,,FALSE,FALSE,2002/11/20 08:47,,https://www.aldailynews.com/trump-leads-democratic-contenders-in-alabama-poll/,general,Trump,Donald Trump,REP,54,32.31823,-86.902298
